id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401628323,away,228,Clemson,ACC,2024-08-31 16:00:00+00:00,Mercedes-Benz Stadium,True,ABC,CLEM,#f56600,#522d80,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,Georgia -10.5,49.5,assets/tv-logos/ABC tv channel logo/078f946de9ec1cc9944e12d11ec54657.png,11.0
401628457,home,277,West Virginia,Big 12,2024-08-31 16:00:00+00:00,Milan Puskar Stadium,False,FOX,WVU,#002855,#eaaa00,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,Penn State -7.5,48.5,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,
401628457,away,213,Penn State,Big Ten,2024-08-31 16:00:00+00:00,Milan Puskar Stadium,False,FOX,PSU,#041E42,#FFFFFF,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Penn State -7.5,48.5,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,5.0
401645322,home,2426,Navy,American Athletic,2024-08-31 16:00:00+00:00,Navy-Marine Corps Memorial Stadium,False,CBSSN,NAVY,#00225b,#b5a67c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,Navy -31.5,48.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,24.0
401645322,away,2083,Bucknell,Patriot,2024-08-31 16:00:00+00:00,Navy-Marine Corps Memorial Stadium,False,CBSSN,BUCK,#000060,#00316e,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,Navy -31.5,48.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401628333,home,238,Vanderbilt,SEC,2024-08-31 16:00:00+00:00,FirstBank Stadium,False,ESPN,VAN,#866d4b,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,Virginia Tech -13.5,48.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,24.0
401628333,away,259,Virginia Tech,ACC,2024-08-31 16:00:00+00:00,FirstBank Stadium,False,ESPN,VT,#630031,#cf4520,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,Virginia Tech -13.5,48.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401634169,home,2509,Purdue,Big Ten,2024-08-31 16:00:00+00:00,Ross-Ade Stadium,False,BIG10,PUR,#000000,#ceb888,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue -35.5,52.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401634169,away,282,Indiana State,MVFC,2024-08-31 16:00:00+00:00,Ross-Ade Stadium,False,BIG10,INST,#00669a,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,Purdue -35.5,52.5,assets/tv-logos/BIG10 tv channel logo/Big_Ten_Network_Logo.png,
401632062,home,97,Louisville,ACC,2024-08-31 16:00:00+00:00,L&N Federal Credit Union Stadium,False,ACC NETWORK,LOU,#c9001f,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,Louisville -38.5,54.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,19.0
401632062,away,2046,Austin Peay,UAC,2024-08-31 16:00:00+00:00,L&N Federal Credit Union Stadium,False,ACC NETWORK,APSU,#8e0b0b,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,Louisville -38.5,54.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,
401628330,home,2633,Tennessee,SEC,2024-08-31 16:45:00+00:00,Neyland Stadium,False,SEC NETWORK,TENN,#ff8200,#58595b,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee -38.5,56.5,assets/tv-logos/SEC NETWORK tv channel logo/SEC_Network_logo.png,8.0
401628330,away,236,Chattanooga,Southern,2024-08-31 16:45:00+00:00,Neyland Stadium,False,SEC NETWORK,UTC,#00386b,#dca71d,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png,Tennessee -38.5,56.5,assets/tv-logos/SEC NETWORK tv channel logo/SEC_Network_logo.png,25.0
401634212,home,197,Oklahoma State,Big 12,2024-08-31 18:00:00+00:00,Boone Pickens Stadium,False,BIG12ESPN+,OKST,#FF7300,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Oklahoma State -12.5,55.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,20.0
