id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401767369,away,2016,Alcorn State,SWAC,2025-08-29 00:00:00+00:00,Harry Turpin Stadium,False,ESPN+,ALCN,#4b0058,#46166a,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,Alcorn State -10.5,49.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401762430,home,5,UAB,American Athletic,2025-08-29 00:30:00+00:00,Protective Stadium,False,ESPN+,UAB,#003b28,#ffc845,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,UAB -21.5,53.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401762430,away,2011,Alabama State,SWAC,2025-08-29 00:30:00+00:00,Protective Stadium,False,ESPN+,ALST,#e9a900,#0a0a0a,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,UAB -21.5,53.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401752796,home,2132,Cincinnati,Big 12,2025-08-29 01:00:00+00:00,GEHA Field at Arrowhead Stadium,True,ESPN,CIN,#E00122,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,Nebraska -6.0,50.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401752796,away,158,Nebraska,Big Ten,2025-08-29 01:00:00+00:00,GEHA Field at Arrowhead Stadium,True,ESPN,NEB,#d00000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Nebraska -6.0,50.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401762791,home,275,Wisconsin,Big Ten,2025-08-29 01:00:00+00:00,Camp Randall Stadium,False,BTN,WIS,#c4012f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin -18.0,41.0,assets/tv-logos/BTN tv channel logo/Btn-440.png,
401762791,away,193,Miami (OH),Mid-American,2025-08-29 01:00:00+00:00,Camp Randall Stadium,False,BTN,M-OH,#a4000c,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,Wisconsin -18.0,41.0,assets/tv-logos/BTN tv channel logo/Btn-440.png,
401762432,home,349,Army,American Athletic,2025-08-29 22:00:00+00:00,Michie Stadium,False,CBSSN,ARMY,#ce9c00,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,Army -14.0,47.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401762432,away,2627,Tarleton State,UAC,2025-08-29 22:00:00+00:00,Michie Stadium,False,CBSSN,TAR,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,Army -14.0,47.5,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,3.0
401779329,home,2368,Marist,Pioneer,2025-08-29 23:00:00+00:00,Leonidoff Field,False,ESPN+,MRST,#e53730,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,New Haven -3.5,48.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401779329,away,2441,New Haven,NEC,2025-08-29 23:00:00+00:00,Leonidoff Field,False,ESPN+,NHVN,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png,New Haven -3.5,48.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401752802,home,127,Michigan State,Big Ten,2025-08-29 23:00:00+00:00,Spartan Stadium,False,FS1,MSU,#18453b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Michigan State -21.5,50.0,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401752802,away,2711,Western Michigan,Mid-American,2025-08-29 23:00:00+00:00,Spartan Stadium,False,FS1,WMU,#532e1f,#8b7f79,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Michigan State -21.5,50.0,assets/tv-logos/FS1 tv channel logo/Image_1.png,
